Trial,Bandit,Reward,Algorithm
341,3.0,2.936041019123897,ThompsonSampling
342,3.0,4.146251235987512,ThompsonSampling
343,3.0,3.5318256162068593,ThompsonSampling
344,3.0,3.565341556304535,ThompsonSampling
345,3.0,3.603484578630022,ThompsonSampling
346,3.0,3.9232250837788176,ThompsonSampling
347,3.0,3.4622184897546595,ThompsonSampling
348,3.0,5.705829364886478,ThompsonSampling
349,3.0,3.715045904974764,ThompsonSampling
350,3.0,4.698693212509974,ThompsonSampling
351,3.0,2.107551696192121,ThompsonSampling
352,3.0,4.587652789013457,ThompsonSampling
353,3.0,5.2190913292933345,ThompsonSampling
354,3.0,3.5094000749146637,ThompsonSampling
355,3.0,4.158663124573552,ThompsonSampling
356,3.0,4.687760757699491,ThompsonSampling
357,3.0,5.110516898351163,ThompsonSampling
358,3.0,3.3884033521908608,ThompsonSampling
359,3.0,2.9279286311340105,ThompsonSampling
360,3.0,3.883664583469949,ThompsonSampling
361,3.0,3.760097586536819,ThompsonSampling
362,3.0,2.4667010306195714,ThompsonSampling
363,3.0,3.343254289430484,ThompsonSampling
364,3.0,3.1331813303323077,ThompsonSampling
365,3.0,4.090809202997166,ThompsonSampling
366,3.0,4.3453061887399675,ThompsonSampling
367,3.0,3.247718434316492,ThompsonSampling
368,3.0,4.6709149281656135,ThompsonSampling
369,3.0,4.231270775130794,ThompsonSampling
370,3.0,3.3894819012625623,ThompsonSampling
371,3.0,3.278486601848095,ThompsonSampling
372,3.0,3.384392343542399,ThompsonSampling
373,3.0,5.3173217477648596,ThompsonSampling
374,3.0,3.4374123797571157,ThompsonSampling
375,3.0,4.365884891416158,ThompsonSampling
376,3.0,3.1140046649300706,ThompsonSampling
377,3.0,3.3309493610568532,ThompsonSampling
378,3.0,2.649179713442857,ThompsonSampling
379,3.0,5.344817854186562,ThompsonSampling
380,3.0,4.049129959567338,ThompsonSampling
381,3.0,2.786417732932854,ThompsonSampling
382,3.0,3.70986567358245,ThompsonSampling
383,3.0,3.757222725963114,ThompsonSampling
384,3.0,4.831880630405662,ThompsonSampling
385,3.0,4.463435197034224,ThompsonSampling
386,3.0,5.370899275452711,ThompsonSampling
387,3.0,4.562913898791925,ThompsonSampling
388,3.0,4.891432019184312,ThompsonSampling
389,3.0,4.150432002807376,ThompsonSampling
390,3.0,4.524595894137682,ThompsonSampling
391,3.0,3.1958511837487924,ThompsonSampling
392,3.0,4.253608976280402,ThompsonSampling
393,3.0,6.299191352662529,ThompsonSampling
394,3.0,3.6712078486231,ThompsonSampling
395,3.0,2.8503539534543325,ThompsonSampling
396,3.0,3.1343057252477675,ThompsonSampling
397,3.0,3.146240476537954,ThompsonSampling
398,3.0,5.34004274201987,ThompsonSampling
399,3.0,4.811742585782441,ThompsonSampling
400,3.0,4.934676834250928,ThompsonSampling
401,3.0,4.172556699777328,ThompsonSampling
402,3.0,2.982372009861214,ThompsonSampling
403,3.0,3.9870833347370205,ThompsonSampling
404,3.0,3.3939431590140656,ThompsonSampling
405,3.0,2.7802146875644964,ThompsonSampling
406,3.0,5.442843847405379,ThompsonSampling
407,3.0,4.090196002767646,ThompsonSampling
408,3.0,3.906558005402989,ThompsonSampling
409,3.0,4.470845027196411,ThompsonSampling
410,3.0,3.9753946518163947,ThompsonSampling
411,3.0,4.521064974142686,ThompsonSampling
412,3.0,5.0135587381641855,ThompsonSampling
413,3.0,2.9050750697051884,ThompsonSampling
414,3.0,2.8468512683471685,ThompsonSampling
415,3.0,5.101967393863257,ThompsonSampling
416,3.0,3.6799882479813486,ThompsonSampling
417,3.0,3.969207897985992,ThompsonSampling
418,3.0,4.928190879223416,ThompsonSampling
419,3.0,3.287927685458433,ThompsonSampling
420,3.0,3.731740176505967,ThompsonSampling
421,3.0,5.402026477811702,ThompsonSampling
422,3.0,4.505195356871031,ThompsonSampling
423,3.0,5.4544753935429,ThompsonSampling
424,3.0,4.437385711963615,ThompsonSampling
425,3.0,4.611255814806434,ThompsonSampling
426,3.0,2.3575106866660978,ThompsonSampling
427,3.0,4.632663773288578,ThompsonSampling
428,3.0,3.3028004718898103,ThompsonSampling
429,3.0,1.9334728812062543,ThompsonSampling
430,3.0,3.8590988447955414,ThompsonSampling
431,3.0,4.819104422610797,ThompsonSampling
432,3.0,4.306045907376907,ThompsonSampling
433,3.0,5.323419775831403,ThompsonSampling
434,3.0,4.298760640612431,ThompsonSampling
435,3.0,4.684538068761414,ThompsonSampling
436,3.0,3.0983221805292382,ThompsonSampling
437,3.0,3.655446636910302,ThompsonSampling
438,3.0,4.383908757451465,ThompsonSampling
439,3.0,2.703827301155936,ThompsonSampling
440,3.0,4.421138117350358,ThompsonSampling
441,3.0,4.4206174999564904,ThompsonSampling
442,3.0,3.393658451021284,ThompsonSampling
443,3.0,4.575150762951103,ThompsonSampling
444,3.0,3.048919914155677,ThompsonSampling
445,3.0,2.866210185746554,ThompsonSampling
446,3.0,4.420622359796622,ThompsonSampling
447,3.0,5.742909158271794,ThompsonSampling
448,3.0,4.007548106215706,ThompsonSampling
449,3.0,3.863794129601333,ThompsonSampling
450,3.0,5.504708029676806,ThompsonSampling
451,3.0,2.9187855954853883,ThompsonSampling
452,3.0,2.2869703722510373,ThompsonSampling
453,3.0,5.118580813402983,ThompsonSampling
454,3.0,4.144483112355847,ThompsonSampling
455,3.0,3.8536359017306037,ThompsonSampling
456,3.0,4.420815056721857,ThompsonSampling
457,3.0,2.0665691021570955,ThompsonSampling
458,3.0,3.8648136142899987,ThompsonSampling
459,3.0,3.9088137337108697,ThompsonSampling
460,3.0,6.077447765089073,ThompsonSampling
461,3.0,3.662901282117633,ThompsonSampling
462,3.0,4.1223329391401204,ThompsonSampling
463,3.0,3.160048773425755,ThompsonSampling
464,3.0,3.4312649872785923,ThompsonSampling
465,3.0,2.8280014094104295,ThompsonSampling
466,3.0,5.621531150304991,ThompsonSampling
467,3.0,3.7469091018289613,ThompsonSampling
468,3.0,3.203574376676241,ThompsonSampling
469,3.0,4.172909863322834,ThompsonSampling
470,3.0,5.413869678096369,ThompsonSampling
471,3.0,3.988188512074321,ThompsonSampling
472,3.0,3.7820249060511846,ThompsonSampling
473,3.0,4.067300580322698,ThompsonSampling
474,3.0,5.303840472905631,ThompsonSampling
475,3.0,3.515897877018472,ThompsonSampling
476,3.0,2.543390091421302,ThompsonSampling
477,3.0,2.708978670675583,ThompsonSampling
478,3.0,3.739188199855259,ThompsonSampling
479,3.0,4.277361715806011,ThompsonSampling
480,3.0,2.770439447244147,ThompsonSampling
481,3.0,4.778547758475141,ThompsonSampling
482,3.0,3.8018408859666994,ThompsonSampling
483,3.0,4.176880720905018,ThompsonSampling
484,3.0,3.6914312201420096,ThompsonSampling
485,3.0,4.348016695244836,ThompsonSampling
486,3.0,4.365768977730172,ThompsonSampling
487,3.0,4.052089991069179,ThompsonSampling
488,3.0,3.6846616317856724,ThompsonSampling
489,3.0,3.2532002308181585,ThompsonSampling
